installer_uniq,installer_closest,installer_counts,installer_counts_pct,installer_imputed
morovi,moroil,1,0.00%,others
morovian,moravian,1,0.00%,others
morrov,morovi,1,0.00%,others
morrovian,morovian,1,0.00%,others
moses,males,1,0.00%,others
moshonoadp,magomaadp,1,0.00%,others
mosqure,mosque,1,0.00%,others
motibamanyanya,mohamadmasanga,1,0.00%,others
moyowosi,lomoloki,1,0.00%,others
mpangowamwisa,mamahamisa,1,0.00%,others
mpmloka,malola,1,0.00%,others
mrchi,mrkwi,1,0.00%,others
mremicontractor,mwakicontractor,1,0.00%,others
mrish,arisan,1,0.00%,others
mrkas,mrkwi,1,0.00%,others
mrkwi,maswi,1,0.00%,others
mrluo,chuo,1,0.00%,others
mrsau,mrkas,1,0.00%,others
msagin,msabi,1,0.00%,others
msig,mi,1,0.00%,others
msigwa,kigwa,1,0.00%,others
msikitini,msikiti,1,0.00%,others
msjimugumu,majimugumu,1,0.00%,others
msuba,msabi,1,0.00%,others
msudi,msabi,1,0.00%,others
msukwaconstructioncompany,makamaconstruction,1,0.00%,others
mtambo,mambe,1,0.00%,others
mtewe,ewe,1,0.00%,others
mtui,mi,1,0.00%,others
mtwaratechnician,localltechnician,1,0.00%,others
mu,ju,1,0.00%,others
muhindi,hindu,1,0.00%,others
muhochikissaka,chachaissame,1,0.00%,others
mungaya,mgaya,1,0.00%,others
municipalcouncil,taboramunicipalcouncil,1,0.00%,local_govt
muniko,chiko,1,0.00%,others
muslimehefeninternational,livingwaterinternational,1,0.00%,others
muslimusocietyshia,eliuschacha,1,0.00%,others
muwaza,muwasa,1,0.00%,others
mwakabalula,makala,1,0.00%,others
mwakalinga,kawinga,1,0.00%,others
mwakicontracto,mwakicontractor,1,0.00%,others
mwakifuna,makusa,1,0.00%,others
mwalimumuhenza,mwalimumuhenzi,1,0.00%,others
mwalimumuhenzi,mwalimumuhenza,1,0.00%,others
mwamama,kamama,1,0.00%,others
mwamvitarajabu,swaleherajabu,1,0.00%,others
mwanamisially,mohamedally,1,0.00%,others
mwananchiengineeri,makeengineering,1,0.00%,others
mwanza,mianz,1,0.00%,others
mwita,mahita,1,0.00%,others
mwitakichere,mwitamachoa,1,0.00%,others
mwitalucas,mwita,1,0.00%,others
mwitamachoa,mwitamahiti,1,0.00%,others
mwitamahiti,mwitamachoa,1,0.00%,others
mwlmwita,mwita,1,0.00%,others
mwlngassa,luwassa,1,0.00%,others
mzeemabena,mahemba,1,0.00%,others
mzeeomari,mzeesmith,1,0.00%,others
mzeesalumbakaridarus,mzeeomari,1,0.00%,others
mzeesmith,mzeeomari,1,0.00%,others
mzeewaziritajari,mzeeomari,1,0.00%,others
mzeeyassinnaya,mzeemabena,1,0.00%,others
mzungu,mzung,1,0.00%,others
nafco,natio,1,0.00%,others
namungo,ngomango,1,0.00%,others
napupanga,nampapanga,1,0.00%,others
nasanworkers,nassanworkers,1,0.00%,others
nassanworkers,nasanworkers,1,0.00%,others
nathalhamadi,ahmad,1,0.00%,others
natio,nafco,1,0.00%,others
ndm,ad,1,0.00%,others
ndrdp,mdrdp,1,0.00%,others
nerthlands,netherlands,1,0.00%,others
netherlands,nerthlands,1,0.00%,others
ngelepogroup,upendogroup,1,0.00%,others
nginil,engin,1,0.00%,others
ngo,go,1,0.00%,others
ngomango,namungo,1,0.00%,others
ngos,ngo,1,0.00%,others
nimrodmkonomb,notkno,1,0.00%,others
njoonjoo,cjejow,1,0.00%,others
njula,juma,1,0.00%,others
nmdcindia,india,1,0.00%,others
norani,nora,1,0.00%,others
noshad,noshadi,1,0.00%,others
noshadi,noshad,1,0.00%,others
notkno,notknown,1,0.00%,others
nssf,bsf,1,0.00%,others
nu,ju,1,0.00%,others
nyabarongokegoro,kyelamorogoro,1,0.00%,others
nyabibuyeislamiccenter,maziinvestment,1,0.00%,others
nyabweta,nyangere,1,0.00%,others
nyahale,aqal,1,0.00%,others
nyakahomwita,mgayamwita,1,0.00%,others
nyakilanganyi,nyakilangani,1,0.00%,others
nyamasagi,nyamwanji,1,0.00%,others
nyamingusubvillage,ndukuvillage,1,0.00%,others
nyamwanji,nyamasagi,1,0.00%,others
nyangere,kashere,1,0.00%,others
nyanzaroad,tanroad,1,0.00%,others
nyeisa,jeica,1,0.00%,others
nyitamboka,mtambo,1,0.00%,others
nzila,njula,1,0.00%,others
obadia,abasia,1,0.00%,others
oda,da,1,0.00%,others
okongo,kando,1,0.00%,others
olomoloki,lomoloki,1,0.00%,others
ols,ola,1,0.00%,others
omarally,makala,1,0.00%,others
omarimzee,omarymona,1,0.00%,others
omarrafael,marafin,1,0.00%,others
omarymona,omarimzee,1,0.00%,others
ongan,ungan,1,0.00%,others
orphanage,mpang,1,0.00%,others
others,hery,1,0.00%,others
othod,noshad,1,0.00%,others
overlandhighschool,secondaryschool,1,0.00%,others
ox,o,1,0.00%,others
paffec,amec,1,0.00%,others
pankrasi,paskali,1,0.00%,others
panone,unone,1,0.00%,others
paskali,makala,1,0.00%,others
patricknyanzwi,agrican,1,0.00%,others
paul,magul,1,0.00%,others
pentecosta,pentekoste,1,0.00%,others
pentecostalchurch,pentecostchurch,1,0.00%,others
pentecostchurch,pentecostalchurch,1,0.00%,others
pentekoste,pentecosta,1,0.00%,others
peoplefromegypt,peoplep,1,0.00%,others
perusibhoke,africaone,1,0.00%,others
petcoporationltd,petcorporationltd,1,0.00%,others
peter,inter,1,0.00%,others
petermayiro,mayiro,1,0.00%,others
petropatrice,cathoric,1,0.00%,others
piscop,icap,1,0.00%,others
piuscharles,chonjacharles,1,0.00%,others
pnrco,pnr,1,0.00%,others
pnrda,pnr,1,0.00%,others
porilaakibakigosi,serikaliyakijiji,1,0.00%,others
prima,primo,1,0.00%,others
primo,prima,1,0.00%,others
princemediumschool,eastmerumediumschool,1,0.00%,others
priv,priva,1,0.00%,others
privat,priva,1,0.00%,others
privatecompany,atlascompany,1,0.00%,others
privateindividuals,individuals,1,0.00%,others
privateinstitutions,institution,1,0.00%,others
privateowned,private,1,0.00%,others
privateperson,private,1,0.00%,others
privatetechnician,villagetechnician,1,0.00%,others
profsaluati,resolute,1,0.00%,others
pumpentecostalsweeden,pentecostalchurch,1,0.00%,others
pwd,pad,1,0.00%,others
quickwinhalmashauri,halmashauri,1,0.00%,others
quickwinprojectcouncil,quickwinproject,1,0.00%,local_govt
quickwins,qwickwin,1,0.00%,others
qukwin,quwkwin,1,0.00%,others
r,,1,0.00%,others
ramadhanimmvugalo,ramadhaninyambizi,1,0.00%,others
ramadhaninyambizi,ramadhanimmvugalo,1,0.00%,others
raramataki,ilaramataki,1,0.00%,others
rashidmahongwe,rashidsengombe,1,0.00%,others
rashidsengombe,rashidmahongwe,1,0.00%,others
raurensia,bahresa,1,0.00%,others
raymondekura,makonde,1,0.00%,others
rcchurchbrother,rcchurch,1,0.00%,others
rcmi,rcmis,1,0.00%,others
rcmis,rcmi,1,0.00%,others
rcmissionary,missionary,1,0.00%,others
rcmsufi,msudi,1,0.00%,others
rcnjoro,acord,1,0.00%,others
rddc,rdc,1,0.00%,others
rdws,adrs,1,0.00%,others
recoda,rhoda,1,0.00%,others
reginagroup,ngelepogroup,1,0.00%,others
regionwater,regionalwater,1,0.00%,others
regwa,kigwa,1,0.00%,others
resolutemining,resolute,1,0.00%,others
rhobiwamburs,teonaswambura,1,0.00%,others
richardmkyore,chandeco,1,0.00%,others
rilayowaterproject,kindorokowaterproject,1,0.00%,others
ro,co,1,0.00%,others
robertkampala,robertmosi,1,0.00%,others
robertmosi,ambrose,1,0.00%,others
romam,roma,1,0.00%,others
rombodelta,rombodalta,1,0.00%,others
rotaryclubaustralia,rotaryclub,1,0.00%,others
rotaryclubkitchener,rotaryclub,1,0.00%,others
rotaryclubofchicoandmoshi,rotaryclubofusaandmoshi,1,0.00%,others
rotaryclubofusaandmoshi,rotaryclubofchicoandmoshi,1,0.00%,others
roteryc,rotar,1,0.00%,others
rps,rips,1,0.00%,others
rudri,rude,1,0.00%,others
ruraldrinkungwatersupply,ruraldrinkingwatersupply,1,0.00%,others
rusumogamereserve,busogatrust,1,0.00%,others
rwetcrs,rwetwesa,1,0.00%,rwe
rwetwesa,icftwesa,1,0.00%,others
rwi,lwi,1,0.00%,others
sa,da,1,0.00%,others
sadikikangelo,adpbusangi,1,0.00%,others
safaricamp,africam,1,0.00%,others
safariroya,safaricamp,1,0.00%,others
saferescueltd,africaoneltd,1,0.00%,others
sagaswe,stgasper,1,0.00%,others
saidhashim,hashi,1,0.00%,others
saidico,danidaco,1,0.00%,others
saidihalfani,saidhashim,1,0.00%,others
saidomari,amari,1,0.00%,others
sakwidi,samweli,1,0.00%,others
salamukita,adamkea,1,0.00%,others
salehe,alha,1,0.00%,others
salumtambalizeni,ruvumabasin,1,0.00%,others
samsoni,sacso,1,0.00%,others
samwel,samweli,1,0.00%,others
samweli,samwel,1,0.00%,others
samwelikitana,anglikana,1,0.00%,others
saxonbuildingcontractors,saxonbuildingcontractor,1,0.00%,others
scholasticapankrasi,pankrasi,1,0.00%,others
schooladm9nstrarion,schooladminstrarion,1,0.00%,others
schooladminstrarion,schooladm9nstrarion,1,0.00%,others
sdachurch,church,1,0.00%,others
sdp,adp,1,0.00%,others
seffmtambo,mtambo,1,0.00%,others
segeraestate,floresta,1,0.00%,others
seifndago,secondary,1,0.00%,others
sekondari,secondary,1,0.00%,others
selemanmasoud,sulemanidd,1,0.00%,others
selepta,senapa,1,0.00%,others
semaconsultant,consultant,1,0.00%,others
senttho,centr,1,0.00%,others
seram,efam,1,0.00%,others
serens,serena,1,0.00%,others
serikari,serikali,1,0.00%,others
seronera,serena,1,0.00%,others
sh,ch,1,0.00%,others
shallowwell,charlottewell,1,0.00%,others
shamtesaid,wateraid,1,0.00%,others
shekhe,salehe,1,0.00%,others
shelishelicommission,herimission,1,0.00%,others
shingidayetu,singidayetu,1,0.00%,others
shipoconstructors,wassocontractors,1,0.00%,others
shuleyamsingi,shuleyamsingiufala,1,0.00%,others
shuleyamsingiufala,shuleyamsingi,1,0.00%,others
shuleyasekondariipuli,shuleyamsingiufala,1,0.00%,others
simangokihengu,singasinga,1,0.00%,others
simba,sema,1,0.00%,others
simbalodge,simbaco,1,0.00%,others
simonlusambi,monmali,1,0.00%,others
sipdo,cipro,1,0.00%,others
sisaleststehale,salehe,1,0.00%,others
sistermakulata,australia,1,0.00%,others
sizamayengo,kizenga,1,0.00%,others
socie,boni,1,0.00%,others
solidarm,soliderm,1,0.00%,others
sophiawazir,shawasa,1,0.00%,others
spardrilling,maswidrilling,1,0.00%,others
spcpreprimaryschool,upendoprimaryschool,1,0.00%,others
ssu,bsf,1,0.00%,others
stabex,tadeo,1,0.00%,others
stafordhigima,safaricamp,1,0.00%,others
stelizabethmajengo,sizamayengo,1,0.00%,others
stephano,stph,1,0.00%,others
stephanopaulo,stephano,1,0.00%,others
stevennyangarika,nyangere,1,0.00%,others
stgasper,sagaswe,1,0.00%,others
stmagrethchurch,tagchurch,1,0.00%,others
subvillage,village,1,0.00%,others
sumo,juma,1,0.00%,others
sumry,sumo,1,0.00%,others
sunamco,winamco,1,0.00%,others
swaleherajabu,mwamvitarajabu,1,0.00%,others
sweeden,green,1,0.00%,others
taasi,tansi,1,0.00%,others
tabomacommunity,adracommunity,1,0.00%,others
tacri,acra,1,0.00%,others
tadeo,iado,1,0.00%,others
taees,taes,1,0.00%,others
taes,taees,1,0.00%,others
taipo,shipo,1,0.00%,others
tajirijumbelila,africamuslim,1,0.00%,others
tancan,tanap,1,0.00%,others
tancro,tacri,1,0.00%,others
tanedapssociety,waterauthority,1,0.00%,others
tangacement,tancan,1,0.00%,others
tanload,tanroad,1,0.00%,others
tansi,taasi,1,0.00%,others
tanza,tanz,1,0.00%,others
tanzaniaegypt,tanzania,1,0.00%,others
tanzaniaegypttechnicalcoop,tanzegypttechnicalcoopera,1,0.00%,others
tarangirepark,irangovern,1,0.00%,others
tareto,ereto,1,0.00%,others
tasaf1,tasaf,1,0.00%,others
tasafandcomunity,mtuwasaandcommunity,1,0.00%,others
tasafandlga,tasafandmmem,1,0.00%,others
tasafandmmem,tasafandlga,1,0.00%,others
tasafcitizenandlga,tasafandlga,1,0.00%,others
tasaftlc,tasaf,1,0.00%,others
tasf,tasa,1,0.00%,others
tbl,abd,1,0.00%,others
tcrsa,tcrs,1,0.00%,tcrs
tcrstassaf,tcrstwesa,1,0.00%,tcrs
tcrsvillagecommunity,dadsvillagecommunity,1,0.00%,tcrs
te,ce,1,0.00%,others
teamrafiki,tabraki,1,0.00%,others
techsupportbestco,humfreysco,1,0.00%,others
teonaswambura,rhobiwamburs,1,0.00%,others
ter,te,1,0.00%,others
teresamunyama,africamuslim,1,0.00%,others
tgt,tgts,1,0.00%,others
theco,theo,1,0.00%,others
theo,theco,1,0.00%,others
thomasibusigaye,yohanismgaya,1,0.00%,others
threewaygerman,german,1,0.00%,others
tinaafricare,africare,1,0.00%,others
tlccommunity,community,1,0.00%,others
tlcemmanuelkasoga,emmanuelkiswagala,1,0.00%,others
tlcjenusmalecha,tlcjohnmajala,1,0.00%,others
tlcnyengesamasanja,tlcjenusmalecha,1,0.00%,others
tlcsamora,tlcsorri,1,0.00%,others
tlcselemanmangombe,selemanmasoud,1,0.00%,others
tlcsorri,tacri,1,0.00%,others
tlcthimotheomasunga,tlcemmanuelkasoga,1,0.00%,others
tmn,tmp,1,0.00%,others
tmp,mp,1,0.00%,others
tove,gove,1,0.00%,others
trc,irc,1,0.00%,others
tscr,nsc,1,0.00%,others
tsrc,trc,1,0.00%,others
tukwaleenterp,tukwareenterp,1,0.00%,others
tukwareenterp,tukwaleenterp,1,0.00%,others
twendepamoja,tlcsamora,1,0.00%,others
twesajamii,benjamin,1,0.00%,others
twess,twesa,1,0.00%,others
twig,lwi,1,0.00%,others
tzas,atlas,1,0.00%,others
uaacc,aar,1,0.00%,others
ubaloziwajapani,ubaloziwamarekani,1,0.00%,others
ubaloziwamarekanidwe,ubaloziwamarekani,1,0.00%,dwe
udea,idea,1,0.00%,others
umojadrillingcontractor,umojadrillingcontructo,1,0.00%,others
umojadrillingcontructo,umojadrillingcontractor,1,0.00%,others
unhabitat,caritas,1,0.00%,others
unicrf,unicef,1,0.00%,others
unknowninstaller,unknown,1,0.00%,others
upendogroup,ngelepogroup,1,0.00%,others
upendoprimaryschool,spcpreprimaryschool,1,0.00%,others
upm,apm,1,0.00%,others
upperruvu,morrov,1,0.00%,others
usaembassy,usembassy,1,0.00%,others
usaid,usa,1,0.00%,others
usambalasisters,ireveasister,1,0.00%,others
v,,1,0.00%,others
vc,ac,1,0.00%,others
vicf,icf,1,0.00%,others
vifaf,vifafi,1,0.00%,others
vifai,vifaf,1,0.00%,others
villagecommunitymembers,villagecommunity,1,0.00%,others
villagecounciloda,villagecouncil,1,0.00%,local_govt
villagelocalcontractor,chinahenancontractor,1,0.00%,others
villageoffice,villagecounil,1,0.00%,others
villagerd,villager,1,0.00%,others
villages,village,1,0.00%,others
villagetechnician,privatetechnician,1,0.00%,others
villagewaterattendant,villagegovernment,1,0.00%,others
villagewatercommission,villagewatercommittee,1,0.00%,others
villegecouncil,villagecouncil,1,0.00%,local_govt
villi,vill,1,0.00%,others
villigers,villagers,1,0.00%,others
vitecosinvest,vitecos,1,0.00%,others
vodacom,adam,1,0.00%,others
vwt,dwt,1,0.00%,others
wafidh,wahidi,1,0.00%,others
waheke,kahema,1,0.00%,others
wahidi,wafidh,1,0.00%,others
waitaliano,britain,1,0.00%,others
wama,wamba,1,0.00%,others
wamba,wama,1,0.00%,others
wamisionariwakikatoriki,wamissionariwakikatoriki,1,0.00%,others
wamissionariwakikatoriki,wamisionariwakikatoriki,1,0.00%,others
wananchitechnicians,localltechnician,1,0.00%,others
warento,tareto,1,0.00%,others
wasab,tasa,1,0.00%,others
washima,wachina,1,0.00%,others
wateraiddwe,wateraid,1,0.00%,dwe
wateraidmajitech,wateraiddwe,1,0.00%,others
wateraids,wateraid,1,0.00%,others
waterboards,waterboard,1,0.00%,others
watersema,wateraidsema,1,0.00%,others
watersolution,resolute,1,0.00%,others
waterusegroup,waterusergroup,1,0.00%,others
waterusergroup,waterusegroup,1,0.00%,others
wbk,wb,1,0.00%,others
wde,de,1,0.00%,others
wdeco,wadeco,1,0.00%,others
wdp,adp,1,0.00%,others
weepers,maerere,1,0.00%,others
williamacles,villages,1,0.00%,others
wilson,dimon,1,0.00%,others
winamco,winamuco,1,0.00%,others
winamuco,winamco,1,0.00%,others
winkyens,inves,1,0.00%,others
wizara,idara,1,0.00%,others
wizrayamajinaegypt,wizarayamaji,1,0.00%,others
word,world,1,0.00%,others
worddivisio,worlddivision,1,0.00%,worldvision
wordlbank,wordbank,1,0.00%,others
worldnk,world,1,0.00%,others
worldvisiin,worldvision,1,0.00%,worldvision
woyege,college,1,0.00%,others
wssp,rssp,1,0.00%,others
wus,wcs,1,0.00%,others
ww,dw,1,0.00%,others
yakwetucontractor,ampcontractor,1,0.00%,others
yasini,dasip,1,0.00%,others
yasiniselemani,kanisani,1,0.00%,others
yohanismgaya,hasawa,1,0.00%,others
yorokomwalongo,ngomango,1,0.00%,others
zaburiandneighbors,aquarmandrillers,1,0.00%,others
zao,bao,1,0.00%,others
zaowaterspringx,zaowaterspring,1,0.00%,others
zinduka,benguka,1,0.00%,others
zingibalisecondary,kagungulisecondary,1,0.00%,others
zubermihungo,namungo,1,0.00%,others
