funder_uniq,funder_closest,funder_counts,funder_counts_pct,funder_imputed
msudi,msabi,1,0.00%,others
mtambo,mambe,1,0.00%,others
mtewe,mbeje,1,0.00%,others
muhindi,hindu,1,0.00%,others
muhochikissaka,chachaissame,1,0.00%,others
muislam,islam,1,0.00%,others
muivaru,bumabu,1,0.00%,others
mungaya,mgaya,1,0.00%,others
municipalcouncil,kigomamunicipalcouncil,1,0.00%,local_govt
muniko,mayiro,1,0.00%,others
muslimehefeninternational,compasioninternational,1,0.00%,others
muslimsociety,islamicsociety,1,0.00%,others
muslimusocietyshia,muslimsociety,1,0.00%,others
muslimworld,muslims,1,0.00%,others
muwasa,auwasa,1,0.00%,others
mwakabalula,kwamakala,1,0.00%,others
mwakalinga,makanga,1,0.00%,others
mwakifuna,makona,1,0.00%,others
mwalimumaneromangomuhenzi,mwalimumuhenza,1,0.00%,others
mwalimumuhenza,mwakifuna,1,0.00%,others
mwalimuomari,mbwanaomari,1,0.00%,others
mwamama,kamama,1,0.00%,others
mwamvitarajabu,swaleherajab,1,0.00%,others
mwanaishamwidadi,mbwanaomari,1,0.00%,others
mwanamisially,mwakabalula,1,0.00%,others
mwanza,mganga,1,0.00%,others
mwingereza,magereza,1,0.00%,others
mwinjumamzee,jumanne,1,0.00%,others
mwita,mahita,1,0.00%,others
mwitakichere,mwitamachota,1,0.00%,others
mwitalucas,italian,1,0.00%,others
mwitamachota,mwitamahiti,1,0.00%,others
mwitamahiti,mwitamachota,1,0.00%,others
mwlmwita,mwita,1,0.00%,others
mzeelesilali,mzeeomari,1,0.00%,others
mzeemabena,mahemba,1,0.00%,others
mzeemkungata,mzeengwatu,1,0.00%,others
mzeengwatu,mzeemkungata,1,0.00%,others
mzeesalumbakaridarus,mzeeomari,1,0.00%,others
mzeesh,males,1,0.00%,others
mzeeshindika,muhindi,1,0.00%,others
mzeesmith,mzeesh,1,0.00%,others
mzeewaziritajari,kwamzeewaziri,1,0.00%,others
mzeeyassinnaya,mzeeshindika,1,0.00%,others
mzungu,mzung,1,0.00%,others
namungominers,dmddsolider,1,0.00%,others
nasan,nassan,1,0.00%,others
nassan,nasan,1,0.00%,others
natherland,netherland,1,0.00%,others
natio,nado,1,0.00%,others
nationalpark,nationalrural,1,0.00%,others
nationalruralwb,nationalrural,1,0.00%,others
nazaletchurch,nazarethchurch,1,0.00%,church
nazaleti,ndolezi,1,0.00%,others
ncs,ics,1,0.00%,others
ndm,adb,1,0.00%,others
ndolezi,boazi,1,0.00%,others
ndorobotours,donor,1,0.00%,others
nerthlands,netherlands,1,0.00%,others
netherla,netherland,1,0.00%,others
ngelepogroup,reginagroup,1,0.00%,others
nginila,bilila,1,0.00%,others
ngo,go,1,0.00%,others
ngumi,bgm,1,0.00%,others
nimrodimkonomb,dimon,1,0.00%,others
niponpanoco,pangadeco,1,0.00%,others
njula,juma,1,0.00%,others
nmdcindia,muhindi,1,0.00%,others
noelimahobokela,nyitamboka,1,0.00%,others
noradjapan,noradtassaf,1,0.00%,norad
noradrudep,noradkidep,1,0.00%,norad
norani,moradi,1,0.00%,others
nordic,afric,1,0.00%,others
norplan,norad,1,0.00%,others
norwayaid,norad,1,0.00%,others
noshad,noshadi,1,0.00%,others
noshadi,noshad,1,0.00%,others
nssf,bsf,1,0.00%,others
nyabarongokegoro,kyelamorogoro,1,0.00%,others
nyabibuyeislamiccenter,theislamic,1,0.00%,others
nyabweta,bakwata,1,0.00%,others
nyahale,yaole,1,0.00%,others
nyakahomwita,nyabweta,1,0.00%,others
nyamasagi,dawasa,1,0.00%,others
nyamingusubvillage,ndukuvillage,1,0.00%,others
nyamuhangamaro,magutumaro,1,0.00%,others
nyangere,kagera,1,0.00%,others
nyanzaroad,tanroad,1,0.00%,others
nyeisa,jeica,1,0.00%,others
nyitamboka,mtambo,1,0.00%,others
o,,1,0.00%,others
oakzionandbugangobcommu,kiwandachangozi,1,0.00%,others
obadia,abasia,1,0.00%,others
okutuvillagecommunity,sekeivillagecommunity,1,0.00%,others
oldnyikacompany,kenyanscompany,1,0.00%,others
omarally,marafin,1,0.00%,others
omarrafael,marafin,1,0.00%,others
onedeskonechair,oldonyolengai,1,0.00%,others
opec,cope,1,0.00%,others
orphanage,france,1,0.00%,others
otelobussinesscompany,biofuelcompany,1,0.00%,others
othod,abood,1,0.00%,others
overlandhighschool,governmentschool,1,0.00%,others
overnment,government,1,0.00%,others
ownerpingoc,ringo,1,0.00%,others
oxfarmgb,oxfamgb,1,0.00%,others
padepmifugo,adpmombo,1,0.00%,others
padi,pad,1,0.00%,others
padri,padi,1,0.00%,others
padrik,padri,1,0.00%,others
padrimatayo,laramatak,1,0.00%,others
paffectmwanaindi,actionaid,1,0.00%,others
pagchurch,tagchurch,1,0.00%,church
pancrasi,pankrasi,1,0.00%,others
pangadeco,privateco,1,0.00%,others
pankrasi,pancrasi,1,0.00%,others
panone,none,1,0.00%,others
parastatalan,parastatal,1,0.00%,others
paskali,makli,1,0.00%,others
patrick,padrik,1,0.00%,others
paulosange,panone,1,0.00%,others
pdi,padi,1,0.00%,others
pema,sema,1,0.00%,others
pentecost,pentecostal,1,0.00%,others
pentecostal,pentecost,1,0.00%,others
pentecostalhaganasweeden,pentecostaseela,1,0.00%,others
pentecostaseela,pentecostal,1,0.00%,others
pentekoste,pentecost,1,0.00%,others
peoplefromegypt,peoplefromjapan,1,0.00%,others
peopleofsweden,peopleofjapan,1,0.00%,others
perusibhoke,kerebuka,1,0.00%,others
petermayiro,mayiro,1,0.00%,others
peterngereka,petertesha,1,0.00%,others
petropatrice,patrick,1,0.00%,others
piscop,piscope,1,0.00%,others
piscope,piscop,1,0.00%,others
piusi,missi,1,0.00%,others
piusmsekwa,hesswa,1,0.00%,others
plan,mhan,1,0.00%,others
plantanzania,caltastanzania,1,0.00%,others
polandsecschool,longidosecschool,1,0.00%,others
porilaakibakigosi,serikaliyakijiji,1,0.00%,others
primozunda,iloundp,1,0.00%,others
princemediumschool,eastmerumediumschool,1,0.00%,others
privateco,private,1,0.00%,others
privateindividul,privateindividual,1,0.00%,privateindividual
privateinstitutions,institution,1,0.00%,others
privateperson,privateco,1,0.00%,others
prodap,redap,1,0.00%,others
profsaluati,resolute,1,0.00%,others
pwagu,dwarf,1,0.00%,others
pwc,vwc,1,0.00%,others
quicklw,quick,1,0.00%,others
quickwin,quickwi,1,0.00%,others
quickwinhalmashauri,granahalmashauri,1,0.00%,others
quickwinsscheme,quickwings,1,0.00%,others
qwckwin,qwekwin,1,0.00%,others
qwekwin,qwckwin,1,0.00%,others
r,,1,0.00%,others
rafaelmichael,safaricamp,1,0.00%,others
rajabseleman,matataselemani,1,0.00%,others
rajabuathumani,rajabseleman,1,0.00%,others
ramadhanimmvugalo,ramadhaninyambizi,1,0.00%,others
ramadhaninyambizi,ramadhanimmvugalo,1,0.00%,others
ramsar,aar,1,0.00%,others
raramataki,ilaramataki,1,0.00%,others
rarymondekura,makonder,1,0.00%,others
ras,aar,1,0.00%,others
rashid,hashi,1,0.00%,others
rashidmahongwe,rashidsengombe,1,0.00%,others
rashidsengombe,rashidmahongwe,1,0.00%,others
raurensia,bahresa,1,0.00%,others
rcdwe,dwe,1,0.00%,others
rcmi,cgi,1,0.00%,others
rcmissi,missi,1,0.00%,others
rcmissionary,missionary,1,0.00%,others
rcmofu,cocu,1,0.00%,others
rcmsufi,msudi,1,0.00%,others
rcnjoro,acord,1,0.00%,others
rdws,bhws,1,0.00%,others
redekopdigloria,dedkilo,1,0.00%,others
redet,redep,1,0.00%,others
reginagroup,ngelepogroup,1,0.00%,others
resolutegoldenprideproject,resolutemininggoldenpride,1,0.00%,others
resolutemininggoldenpride,resolutemining,1,0.00%,others
revocatusmahatane,ruvudarajani,1,0.00%,others
rhobi,arabi,1,0.00%,others
rhobiwambura,motibawambura,1,0.00%,others
richardmkyore,tlcsamora,1,0.00%,others
rilayowaterproject,kindorokowaterproject,1,0.00%,others
ringo,kinga,1,0.00%,others
ripati,diwani,1,0.00%,others
robertkampala,robertloyal,1,0.00%,others
robertmosi,robertloyal,1,0.00%,others
rodri,rudri,1,0.00%,others
romamcatholic,romancatholic,1,0.00%,others
romancathoricchurch,romancathoric,1,0.00%,church
rotary,rotaryi,1,0.00%,others
rotaryclubaustralia,rotaryclub,1,0.00%,others
rotaryclubkitchener,rotaryclub,1,0.00%,others
rotaryclubofchicoandmoshi,rotaryclubofusaandmoshi,1,0.00%,others
rotaryclubofusaandmoshi,rotaryclubofchicoandmoshi,1,0.00%,others
rotatyclub,rotaryclub,1,0.00%,others
roteryc,rotary,1,0.00%,others
ruangwalga,mungaya,1,0.00%,others
rudepdwe,rudep,1,0.00%,others
rudepnorad,dwenorad,1,0.00%,norad
rudri,rodri,1,0.00%,others
rumaki,semaki,1,0.00%,others
runda,rada,1,0.00%,others
rural,acra,1,0.00%,others
rusumogamereserve,busogatrust,1,0.00%,others
ruvudarajani,raramataki,1,0.00%,others
rv,dv,1,0.00%,others
rwi,lwi,1,0.00%,others
rwsso,rwssp,1,0.00%,rwssp
sadaqatunjar,laramatak,1,0.00%,others
safaricamp,africa,1,0.00%,others
sagaswe,stgasper,1,0.00%,others
saidhashim,hashi,1,0.00%,others
saidihalfani,saidhashim,1,0.00%,others
saidomari,mzeeomari,1,0.00%,others
saidsalumally,saidihalfani,1,0.00%,others
sakwidi,samweli,1,0.00%,others
salamukita,camavita,1,0.00%,others
salehe,balyehe,1,0.00%,others
salimahmedsalim,halimashauli,1,0.00%,others
salumtambalizeni,caltastanzania,1,0.00%,others
samlo,ballo,1,0.00%,others
samsoni,samlo,1,0.00%,others
samwel,samweli,1,0.00%,others
samweli,samwel,1,0.00%,others
samwelikitana,samweli,1,0.00%,others
samwelimshosha,samwelikitana,1,0.00%,others
sanpellegrino,kapelo,1,0.00%,others
saudia,adra,1,0.00%,others
scharnhorstgymnasium,cartastanzania,1,0.00%,others
scholasticapankrasi,pankrasi,1,0.00%,others
sdachurch,agtchurch,1,0.00%,church
sdp,adp,1,0.00%,others
segeraestate,mweliaestate,1,0.00%,others
seifndago,secondary,1,0.00%,others
sekondari,secondary,1,0.00%,others
selemanmasoud,selemanrashid,1,0.00%,others
selemanrashid,selemanmasoud,1,0.00%,others
selemanseif,selemanrashid,1,0.00%,others
selestinemganga,justinemarwa,1,0.00%,others
selikaliyakijiji,serikaliyakijiji,1,0.00%,others
semaki,semakik,1,0.00%,others
semas,sema,1,0.00%,others
senttho,denat,1,0.00%,others
seram,sema,1,0.00%,others
serian,seram,1,0.00%,others
serikaru,serikari,1,0.00%,others
seronera,serena,1,0.00%,others
shabanidunia,abasia,1,0.00%,others
shamtesaid,wateraid,1,0.00%,others
sharifaathuman,rajabuathumani,1,0.00%,others
shekhe,nethe,1,0.00%,others
shelishelicommission,herimission,1,0.00%,others
shinyangashallowwells,halmashauriwil,1,0.00%,others
shirikalakinamamanawatot,uhaiwamamanamtoto,1,0.00%,others
shuleyamsingi,shuleyamsingiufala,1,0.00%,others
shuleyamsingiufala,shuleyamsingi,1,0.00%,others
shuleyasekondariipuli,shuleyamsingiufala,1,0.00%,others
sido,sida,1,0.00%,others
silindayetu,sindidayetu,1,0.00%,others
silvestershilingi,ilkerivillage,1,0.00%,others
simangokihengu,singasinga,1,0.00%,others
simav,simavi,1,0.00%,others
simbalodge,ecolodge,1,0.00%,others
simone,dimon,1,0.00%,others
simonlusambi,mnyambe,1,0.00%,others
sindidayetu,singidayetu,1,0.00%,others
singsinga,singasinga,1,0.00%,others
sipdo,sido,1,0.00%,others
sisa,lisa,1,0.00%,others
sisaleststehale,parastatal,1,0.00%,others
sissmminghetti,isingiroho,1,0.00%,others
sistermakulata,fpctmulala,1,0.00%,others
siterfransis,sisterfrancis,1,0.00%,others
sizamayengo,karadeango,1,0.00%,others
skumar,juma,1,0.00%,others
sobodo,sabodo,1,0.00%,others
sokolamagomeni,samsoni,1,0.00%,others
songahospi,songas,1,0.00%,others
sophiawazir,chaiwazir,1,0.00%,others
spcpreprimaryschool,upendoprimaryschool,1,0.00%,others
ssmohamed,mamad,1,0.00%,others
stabex,tabea,1,0.00%,others
stafordhigima,safaricamp,1,0.00%,others
stansilaus,stantons,1,0.00%,others
stelizabethmajengo,sizamayengo,1,0.00%,others
stephano,serian,1,0.00%,others
stephanopaulo,stephano,1,0.00%,others
stevennyangarika,laketanganyika,1,0.00%,others
stgasper,sagaswe,1,0.00%,others
stmagrethchurch,nazarethchurch,1,0.00%,church
stpsustainabletan,parastatalan,1,0.00%,others
suasa,suwasa,1,0.00%,others
subvillage,village,1,0.00%,others
sukijang,sunjana,1,0.00%,others
sumo,dmo,1,0.00%,others
sumriy,rudri,1,0.00%,others
sunamco,samlo,1,0.00%,others
sunjana,mungaya,1,0.00%,others
swaleherajab,salehe,1,0.00%,others
sweeden,sweden,1,0.00%,others
swifti,mstiiti,1,0.00%,others
swisstr,swissif,1,0.00%,others
taasaf,tasaf,1,0.00%,tasaf
tabea,tahea,1,0.00%,others
taboma,mboma,1,0.00%,others
tacri,acra,1,0.00%,others
tadeo,tado,1,0.00%,others
taees,taes,1,0.00%,others
taes,taees,1,0.00%,others
tagchurchub,tagchurch,1,0.00%,church
taipo,shipo,1,0.00%,others
tajirijumbelila,africanrelie,1,0.00%,others
tancan,tanap,1,0.00%,others
tancro,tacri,1,0.00%,others
tanedapssociety,islamicsociety,1,0.00%,others
tangacement,pangadeco,1,0.00%,others
tanload,tanroad,1,0.00%,others
tansi,hans,1,0.00%,others
tanzaling,tanzania,1,0.00%,others
tanzaniacompasion,tanzaniaegypt,1,0.00%,others
tanzaniaegypt,tanzania,1,0.00%,others
tanzaniaegypttechnicalcoop,tanzegypttechnicalcoop,1,0.00%,others
tanzaniajourney,tanzania,1,0.00%,others
tanzegypttechnicalcoop,tanzegypttechnicalcooper,1,0.00%,others
tarangirepark,irangover,1,0.00%,others
tareto,ereto,1,0.00%,others
tasa,tasad,1,0.00%,tasaf
tasad,tasa,1,0.00%,tasaf
tasae,tasa,1,0.00%,tasaf
tasaf1,tasaf,1,0.00%,tasaf
tasafandmmem,tasafandlga,1,0.00%,tasaf
tasafii,tassafii,1,0.00%,others
tasaftlc,tasaf,1,0.00%,tasaf
tasf,tasa,1,0.00%,tasaf
tbl,abd,1,0.00%,others
tcrskibondo,sabodo,1,0.00%,tcrs
tcrst,tcrs,1,0.00%,tcrs
tcrsvillagecommunity,villagecommunity,1,0.00%,tcrs
tdrs,tcrs,1,0.00%,tcrs
teamrafiki,tabraki,1,0.00%,others
teonaswambura,rhobiwambura,1,0.00%,others
teresamunyama,theonasmnyama,1,0.00%,others
tgrs,tcrs,1,0.00%,tcrs
tgt,gt,1,0.00%,others
tgz,tgt,1,0.00%,others
theo,chuo,1,0.00%,others
theonasmnyama,teresamunyama,1,0.00%,others
thomasibusigaye,hapasingida,1,0.00%,others
timothyshindika,mzeeshindika,1,0.00%,others
tinaafricare,africare,1,0.00%,others
tingatingasecschool,longidosecschool,1,0.00%,others
tkc,kc,1,0.00%,others
tlccommunity,community,1,0.00%,others
tlcemmanuelkasoga,selemanmasoud,1,0.00%,others
tlcjenusmalecha,tlcjohnmajala,1,0.00%,others
tlcnyengesamasanja,tlcjenusmalecha,1,0.00%,others
tlcsamora,tlcsorri,1,0.00%,others
tlcselemanmangombe,selemanmasoud,1,0.00%,others
tlcsorri,tacri,1,0.00%,others
tlcthimotheomasunga,tlcemmanuelkasoga,1,0.00%,others
torontoestate,mweliaestate,1,0.00%,others
totalandcare,totallandcare,1,0.00%,others
tove,cope,1,0.00%,others
towncouncil,council,1,0.00%,local_govt
tquickwings,quickwings,1,0.00%,others
trach,rcch,1,0.00%,others
trc,irc,1,0.00%,others
tredsp,tredep,1,0.00%,others
treedap,redap,1,0.00%,others
treewaysgerman,acogermany,1,0.00%,others
twendepamoja,tadepa,1,0.00%,others
twice,twe,1,0.00%,others
twig,kwik,1,0.00%,others
tzas,baas,1,0.00%,others
uaacc,aar,1,0.00%,others
ubaloziwajapani,ubaloziwamarekani,1,0.00%,others
umoja,dmo,1,0.00%,others
unhabitat,unpaict,1,0.00%,others
unhcrdanida,danida,1,0.00%,danida
unhcrgovernment,tcrsgovernment,1,0.00%,united_nations
unicecspd,unicefcspd,1,0.00%,united_nations
unicefafricanmuslimagency,africanmuslimagency,1,0.00%,others
uniceg,unice,1,0.00%,united_nations
unicet,unice,1,0.00%,united_nations
unicrf,unicef,1,0.00%,united_nations
uniseg,uniceg,1,0.00%,united_nations
unpaict,undpaict,1,0.00%,others
upendoprimaryschool,spcpreprimaryschool,1,0.00%,others
upperruvu,cper,1,0.00%,others
ur,br,1,0.00%,others
usambalasister,ireveasister,1,0.00%,others
vc,c,1,0.00%,others
veo,bao,1,0.00%,others
vgovernment,government,1,0.00%,others
villagecommuni,villagecommunity,1,0.00%,others
villagecontributio,villlagecontributi,1,0.00%,others
villagecouncilrosekawala,villagecouncil,1,0.00%,local_govt
villageres,villagers,1,0.00%,others
villagersmpi,villagers,1,0.00%,others
villages,village,1,0.00%,others
villagewatercommission,villagecommuni,1,0.00%,others
villegecouncil,villagecouncil,1,0.00%,local_govt
villegers,villagers,1,0.00%,others
villlagecontributi,villagecontributio,1,0.00%,others
vn,in,1,0.00%,others
vw,dw,1,0.00%,others
vwcvc,vwcvwc,1,0.00%,others
vwcvwc,vwcvc,1,0.00%,others
vwt,dwt,1,0.00%,others
wafidhiwaziwat,ahmadia,1,0.00%,others
waheke,kahema,1,0.00%,others
wahidi,dadid,1,0.00%,others
waitaliano,italian,1,0.00%,others
wamakapuchini,makapuchini,1,0.00%,others
wamarekani,wajerumani,1,0.00%,others
wamembiki,mahemba,1,0.00%,others
wamisionariwakikatoriki,wamissionariwakikatoriki,1,0.00%,others
wamissionariwakikatoriki,wamisionariwakikatoriki,1,0.00%,others
wanakijiji,kijiji,1,0.00%,others
wanginyiwater,finiwater,1,0.00%,others
wards,dads,1,0.00%,others
warento,tareto,1,0.00%,others
wateraiddwe,wateraid,1,0.00%,others
waterauthority,wateraid,1,0.00%,others
waterdepartment,ruralwaterdepartment,1,0.00%,others
waterse,water,1,0.00%,others
watersema,waterse,1,0.00%,others
watuwamarekani,wamarekani,1,0.00%,others
wbk,wb,1,0.00%,others
wcst,wcs,1,0.00%,others
wdp,adp,1,0.00%,others
wdsp,dsp,1,0.00%,others
weepers,peters,1,0.00%,others
wfdp,afdp,1,0.00%,others
williamacleus,villaers,1,0.00%,others
wilson,dimon,1,0.00%,others
winkyens,concen,1,0.00%,others
wirarayamaji,idarayamaji,1,0.00%,others
womenfopartnership,womenforpartnership,1,0.00%,others
worldbankgovernment,belgiangovernment,1,0.00%,worldbank
worldvisionrcchurch,worldvisionadra,1,0.00%,worldvision
woyege,college,1,0.00%,others
wsdo,wsdp,1,0.00%,others
wugandded,wuaandded,1,0.00%,others
wwffores,bffs,1,0.00%,others
yaole,ballo,1,0.00%,others
yasinaini,yasini,1,0.00%,others
yasini,dasiip,1,0.00%,others
yasiniselemani,matataselemani,1,0.00%,others
zaburiandneig,africanrelie,1,0.00%,others
zao,bao,1,0.00%,others
zaowaterspringx,zaowaterspring,1,0.00%,others
zinduka,benguka,1,0.00%,others
zingibalisecondary,kagungulisecondary,1,0.00%,others
